id,movie_id,image,original_title,title,release_year,rating,
130,1008779,/ksxiXqwPuEjh3gct1zUpyzNoQFt.jpg,La Princesa,La Princesa,2022-02-01,7.4,
131,932339,/aDUWcbmzKM2CwkDbXixVvQbTYbo.jpg,Un novio para mi mujer,Un novio para mi mujer,2022-07-22,4.7,
132,1012801,/8qb8cLDBAWdahrtixN2mQdI6e52.jpg,Barbie: Mermaid Power,Barbie: Mermaid Power,2022-10-14,7.4,
133,843633,/lG56H40Y1BuHSPoWtEgDJsSgDBZ.jpg,White Elephant,화이트 엘리펀트,2022-06-03,6.6,
134,877957,/3w0KOMiF7AHpLr9fnJnBLjFry0A.jpg,雨を告け?る漂流?地,표류단지,2022-09-09,7.8,
135,337404,/ejnSfKiUgqyiqdiLMc1wGAwvyTN.jpg,Cruella,크루엘라,2021-05-26,8.1,
136,1010818,/lSONYnVc2tfzsQuenZgzawQtW2c.jpg,Groot's First Steps,그루트의 첫 발자국,2022-08-10,7.3,
137,9479,/aWUy907W9OtypP3iWO3wWvu4641.jpg,The Nightmare Before Christmas,팀버튼의 크리스마스 악몽,1993-10-09,7.8,
138,951368,/2OOYNZLKjdX8Z5KNyz7zZnHmodJ.jpg,Your Boyfriend Is Mine,Your Boyfriend Is Mine,2022-03-19,6.8,
139,755566,/8utntaGYeQI5NDKgnA5ioIMW92w.jpg,Day Shift,데이 시프트,2022-08-12,6.9,
140,774825,/iKFpQoNiS2q9AZ3dEPv1zfkmHvs.jpg,The Ice Age Adventures of Buck Wild,아이스 에이지: 벅의 대모험,2022-01-28,6.7,
141,671,/unEtC8uWn2lcQLnwKG9PZJX0h0c.jpg,Harry Potter and the Philosopher's Stone,해리 포터와 마법사의 돌,2001-11-16,7.9,
142,672,/sfs4U6XpiKFngbbSzrpZbkM1ySI.jpg,Harry Potter and the Chamber of Secrets,해리 포터와 비밀의 방,2002-11-13,7.7,
143,508943,/cgQMmwPtSInmIvoQLJhoByBelGA.jpg,Luca,루카,2021-06-17,7.9,
144,798544,/xKH44zYwhviUnnkOy7ReZeEcIp3.jpg,サマ?ゴ?スト,썸머 고스트,2021-11-12,7.6,
145,576925,/5VyE5mg3RTijif9HRB39eeYpW0i.jpg,Бука. Моё любимое чудище,Бука. Моё любимое чудище,2022-01-27,6.3,
146,484907,/kgaadQfeX9yi30oBCreM7cxurqj.jpg,Homebound,홈바운드,2022-04-01,3.1,
